year,month,day,temperature,_id
2014,10,13,+7,5e7ac44493d299b2e849d06f
2014,10,14,+10,5e7ac44493d299b2e849d070
2014,10,15,+11,5e7ac44493d299b2e849d071
2014,10,16,+13,5e7ac44493d299b2e849d072
2014,10,17,+6,5e7ac44493d299b2e849d073
2014,10,18,+12,5e7ac44493d299b2e849d074
2014,10,19,+18,5e7ac44493d299b2e849d075
2014,10,20,+5,5e7ac44493d299b2e849d076
2014,10,21,0,5e7ac44493d299b2e849d077
2014,10,22,+3,5e7ac44493d299b2e849d078
2014,10,23,+10,5e7ac44493d299b2e849d079
2014,10,24,+11,5e7ac44493d299b2e849d07a
2014,10,25,+4,5e7ac44493d299b2e849d07b
2014,10,26,+1,5e7ac44493d299b2e849d07c
2014,10,27,-1,5e7ac44493d299b2e849d07d
2014,10,28,+2,5e7ac44493d299b2e849d07e
2014,10,29,+3,5e7ac44493d299b2e849d07f
2014,10,30,+3,5e7ac44493d299b2e849d080
2014,10,31,+5,5e7ac44493d299b2e849d081
2014,11,1,0,5e7ac44493d299b2e849d082
2014,11,2,0,5e7ac44493d299b2e849d083
2014,11,3,-2,5e7ac44493d299b2e849d084
2014,11,4,-1,5e7ac44493d299b2e849d085
2014,11,5,+6,5e7ac44493d299b2e849d086
2014,11,6,0,5e7ac44493d299b2e849d087
2014,11,7,-2,5e7ac44493d299b2e849d088
2014,11,8,+2,5e7ac44493d299b2e849d089
2014,11,9,+3,5e7ac44493d299b2e849d08a
2014,11,10,+5,5e7ac44493d299b2e849d08b
2014,11,11,+4,5e7ac44493d299b2e849d08c
2014,11,12,-2,5e7ac44493d299b2e849d08d
2014,11,13,-3,5e7ac44493d299b2e849d08e
2014,11,14,-12,5e7ac44493d299b2e849d08f
2014,11,15,-10,5e7ac44493d299b2e849d090
2014,11,16,-11,5e7ac44493d299b2e849d091
2014,11,17,-11,5e7ac44493d299b2e849d092
2014,11,18,-11,5e7ac44493d299b2e849d093
2014,11,19,-7,5e7ac44493d299b2e849d094
2014,11,20,-8,5e7ac44493d299b2e849d095
2014,11,21,-10,5e7ac44493d299b2e849d096
2014,11,22,-3,5e7ac44493d299b2e849d097
2014,11,23,-8,5e7ac44493d299b2e849d098
2014,11,24,-6,5e7ac44493d299b2e849d099
2014,11,25,-7,5e7ac44493d299b2e849d09a
2014,11,26,-8,5e7ac44493d299b2e849d09b
2014,11,27,-3,5e7ac44493d299b2e849d09c
2014,11,28,-10,5e7ac44493d299b2e849d09d
2014,11,29,-10,5e7ac44493d299b2e849d09e
2014,11,30,-14,5e7ac44493d299b2e849d09f
2014,12,1,-12,5e7ac44493d299b2e849d0a0
2014,12,2,-8,5e7ac44493d299b2e849d0a1
2014,12,3,-15,5e7ac44493d299b2e849d0a2
2014,12,4,-16,5e7ac44493d299b2e849d0a3
2014,12,5,-19,5e7ac44493d299b2e849d0a4
2014,12,6,-17,5e7ac44493d299b2e849d0a5
2014,12,7,-16,5e7ac44493d299b2e849d0a6
